,Name,Phone Number,Website2,Company Name,Company Name#,Address,Place,Zip,Sector,Product,Website,Region,Place.1,1,2,Unnamed: 12
0,SunTrac Solar,NA,NA,SunTrac Solar,SunTrac Solar,,"Golden,, Colorado",80403,Solar,Colorado based solar thermal integrator,,,Golden,, Colorado,
0,Capital E,NA,NA,Capital E,Capital E,,"Washington, Washington, DC",DC 20003,"Services,Solar",Capital E is a consulting firm which provides services such as technology evaluation and strategic marketing support for mainly fuel cell and solar power industries.,,,Washington, Washington, DC,
0,FRONIUS USA LLC,NA,NA,FRONIUS USA LLC,FRONIUS USA LLC,,"Brighton, Michigan 48116 USA, Michigan",,Solar,Focused on welding machines and solar inverters.,,,Brighton, Michigan 48116 USA, Michigan,
0,Solar International Management Inc,NA,NA,Solar International Management Inc,Solar International Management Inc,,"Washington,DC, Washington, DC",20006,Solar,Manager of the Solar Bank funds.,,,Washington,DC, Washington,
0,Solarponics,1(805) 466-5595,http://www.facebook.com/solarponics,Solarponics,Solarponics,4700 El Camino Real,"Atascadero, California,United States",93422,"Renewable Energy,Solar,Wind energy",,http://www.solarponics.com,,Atascadero, California,United States,
0,"A1 Sun, Inc.",(510) 526-5715,www.a1suninc.com ,"A1 Sun, Inc.","A1 Sun, Inc.",1435 4th St.,"Berkeley, California,United States",94710,Solar,Solar PV Design and Installation,http://www.a1suninc.com,Bay Area,Berkeley, California,United States,
0,PetersenDean Roofing and Solar,5105895037,www.petersendean.com ,PetersenDean Roofing and Solar,PetersenDean Roofing and Solar,39300 Civic Center Drive,"Fremont, California,United States",94538,"Efficiency,Renewable Energy,Services,Solar",Petersendean Roofing and Solar,http://www.petersendean.com,,Fremont, California,United States,
0,AMECO Solar,888-595-9570,https://www.facebook.com/AmecoSolar/,AMECO Solar,AMECO Solar,7623 Somerset Blvd.,"Paramount, California,United States",90723,Solar,,http://www.solarexpert.com,,Paramount, California,United States,
0,Ameco Solar,888-595-9570,https://www.facebook.com/AmecoSolar/,Ameco Solar,Ameco Solar,7623 Somerset Blvd.,"Paramount, California,United States",90723,Solar,"Ameco is a licensed solar energy contractor operating principally in Los Angeles and Orange Counties. Ameco designs, installs and repairs solar energy systems for homes and businesses in Southern California. CA State License No. 483280",http://www.solarexpert.com,,Paramount, California,United States,
0,Run on Sun,626-793-6025,NA,Run on Sun,Run on Sun,655 S Raymond AV,"Pasadena, California,United States",91105,Solar,,http://runonsun.com/,Southern CA Area,Pasadena, California,United States,
0,3Degrees,866.476.9378,www.3degreesinc.com/ ,3Degrees,3Degrees,407 Sansome,"San Francisco, California,United States",94111,"Bioenergy,Buildings,Carbon,Geothermal energy,Services,Solar,Wind energy,Biofuels,Biomass,Hydro,Marine and Hydrokinetic,Renewable Energy",Environmental Commodities,http://www.3degreesinc.com/,Bay Area,San Francisco, California,United States,
