Name,Company Name,Company Name#,Address,Place,Zip,Sector,Product,Website,Region,Place.1,1,2,Unnamed: 12,Phone Number,Website2
1 solar inc,1 Solar Inc,1 Solar Inc,,California,,"Renewable Energy,Solar","Early-stage startup from Sandia National Laboratories, developing technologies for 15-year inverters for solar and other renewable energy systems.",,,California,,,,,
1366 technologies,1366 Technologies,1366 Technologies,45 Hartwell Avenue,"North Lexington, Massachusetts",2421,Solar,"Developer of technologies for enhancing PV efficiency, including new cell wiring and wafer packaging systems.",http://www.1366tech.com/,,North Lexington, Massachusetts,,,NA,www.1366tech.com/ 
"1st light energy, inc.","1st Light Energy, Inc.","1st Light Energy, Inc.",3224 McHennry Ave Suite F,"Modesto, California",953650,Solar,,http://1stlightenergy.com,Southern CA Area,Modesto, California,,,209-824-5500,NA
21 century solar inc,21 Century Solar Inc,21 Century Solar Inc,,"Garland, Texas",75042,Solar,Privately-owned Garland-based manufacturer of solar-grade polysilicon.,,,Garland, Texas,,,,
"21-century silicon, inc.","21-Century Silicon, Inc.","21-Century Silicon, Inc.","1681 Firman Drive, Suite 103","Richardson, Texas",75081-1881,Solar,Solar Grade Silicon >99.9999% purity,http://www.21-CenturySilicon.com/,Texas Area,Richardson, Texas,,,972-591-0713,www.21-CenturySilicon.com/ 
3degrees,3Degrees,3Degrees,407 Sansome,"San Francisco, California,United States",94111,"Bioenergy,Buildings,Carbon,Geothermal energy,Services,Solar,Wind energy,Biofuels,Biomass,Hydro,Marine and Hydrokinetic,Renewable Energy",Environmental Commodities,http://www.3degreesinc.com/,Bay Area,San Francisco, California,United States,,866.476.9378,www.3degreesinc.com/ 
4th day energy,4th Day Energy,4th Day Energy,38886 River Belle,"Tollhouse, California",93667,Solar,Solar electric systems,http://www.4thdayenergy.com,Southern CA Area,Tollhouse, California,,,877-484-3291,www.4thdayenergy.com 
808 investments llc,808 Investments LLC,808 Investments LLC,,"Huntington Beach, California",92649,Solar,California-based boutique investment banking firm focusing on solar and cogeneration project development or acquisition.,,,Huntington Beach, California,,,NA,NA
"8minutenergy renewables, llc","8minutenergy Renewables, LLC","8minutenergy Renewables, LLC","111 Woodmere Road, Suite 190","Folsom, California",95630,Solar,California based project developer,http://www.8minutenergy.com,,Folsom, California,,,NA,www.8minutenergy.com 
a o smith,A O Smith,A O Smith,,Wisconsin,,"Efficiency,Solar,Hydro",Wisconsin-based based company that makes both water heating equipment and electric motors and also is in the water treatment business. Its water heating focus includes a focus on high-efficiency and solar-suitable equipment.,http://www.hotwater.com/,,Wisconsin,,,,NA,www.hotwater.com/ 
"a1 sun, inc.","A1 Sun, Inc.","A1 Sun, Inc.",1435 4th St.,"Berkeley, California,United States",94710,Solar,Solar PV Design and Installation,http://www.a1suninc.com,Bay Area,Berkeley, California,United States,,(510) 526-5715,www.a1suninc.com 
a10 power,A10 Power,A10 Power,"775 E. Blithedale Ave., #125","Mill Valley, California",94941,Solar,Solar Financing and Integration,http://www.a10power.com,Bay Area,Mill Valley, California,,,,
"abc solar, inc.","ABC Solar, Inc.","ABC Solar, Inc.",24454 Hawthorne Blvd,"Torrance, California",90505,Solar,"Solar power systems, products",http://www.abcsolar.com/,Southern CA Area,Torrance, California,,,NA,www.abcsolar.com/ 
abengoa solar,Abengoa Solar,Abengoa Solar,11500 W 13th Ave,"Lakewood, Colorado",80215,Solar,Solar developer,http://www.abengoasolar.com/,Rockies Area,Lakewood, Colorado,,,NA," http://www.nrel.gov/csp/news/2009/674.html
"
able energy co.,Able Energy Co.,Able Energy Co.,265 Mound View Rd.,"River Falls, Wisconsin",54022,"Renewable Energy,Services,Solar,Vehicles",Solar EPC Contractor,http://www.weknowsolar.com,,River Falls, Wisconsin,,,"-15.284185114076°, -95.625° Show Map",www.weknowsolar.com 
abound solar,Abound Solar,Abound Solar,"2695 Rocky Mountain Avenue, Suite 100","Loveland, Colorado",80538,Solar,Thin-film cadmium telluride solar modules,http://www.abound.com,Rockies Area,Loveland, Colorado,,,NA," http://www.nrel.gov/docs/fy11osti/48353.pdf
"
abs alaskan inc,ABS Alaskan Inc,ABS Alaskan Inc,2130 Van Horn Rd.,"Fairbanks, Alaska",99701,"Marine and Hydrokinetic,Solar,Wind energy","Solar PV, Solar thermal, Wind, Hydro, Small scale wind turbine (up to 1kW) and solar systems distributor.",http://www.absak.com/,United States,Fairbanks, Alaska,,,,
abundant renewable energy are,Abundant Renewable Energy ARE,Abundant Renewable Energy ARE,,"Newberg, Oregon",97132,"Solar,Wind energy","Oregon-based provider of wind turbines, wind towers and dealers for wind turbines as well as solar passive heating systems.",,,Newberg, Oregon,,,,
ac solar inc,AC Solar Inc,AC Solar Inc,P.O. Box 128,"Florence, Colorado",81226,Solar,Solar and wind sales for residential,http://www.acsolar.com/,Rockies Area,Florence, Colorado,,,NA,www.acsolar.com/ 
access solar energy llc,Access Solar Energy LLC,Access Solar Energy LLC,,"Park CIty, Utah",84060,"Renewable Energy,Solar","Utah-based developers of renewable energy projects, primarily focused on the development utility scale solar power facilities.",,,Park CIty, Utah,,,NA,NA
acme solar works,ACME solar works,ACME solar works,20738 Brown Lane,"Summerdale, Alabama",36580,Solar,"Solar power systems, products",http://www.acmesolarworks.net/,,Summerdale, Alabama,,,877-226-3004,www.acmesolarworks.net/ 
acorn technology corporation,Acorn Technology Corporation,Acorn Technology Corporation,23103 Miles Road,"Cleveland, Ohio",44128,"Biofuels,Services,Solar,Wind energy",,http://acorntechnology.com,,Cleveland, Ohio,,,216-663-1244,NA
acro energy,Acro Energy,Acro Energy,598 S. Sierra Ave.,"Oakdale, CA",95361,Solar,solar energy systems,http://acroenergy.com/,Bay Area,Oakdale, CA,,,(209) 847-2977,NA
acro energy technologies formerly lonestar capital,Acro Energy Technologies formerly Lonestar Capital,Acro Energy Technologies formerly Lonestar Capital,,"Oakdale, California",95361,Solar,"California-based full service electrical contractor specializing in solar Energy, backup power, and power conditioning systems.",,,Oakdale, California,,,,
acro solar lasers,Acro Solar Lasers,Acro Solar Lasers,,"El Paso, Texas",79936,Solar,Makes solar water heating devices based on parabolic dish concentrators.,,,El Paso, Texas,,,NA,NA
act solar inc,Act Solar Inc,Act Solar Inc,,"Santa Clara, California",,Solar,California-based solar micro-inverter manufacturer and power management technology company.,,,Santa Clara, California,,,,
"adi wind, llc.","ADI Wind, llc.","ADI Wind, llc.",4686 French Creek Road,"Sheffield Village, Ohio",44054,"Renewable Energy,Solar,Wind energy",Agriculture; Consulting;Energy audits/weatherization;Energy provider: energy transmission and distribution;Energy provider: power production; Engineering/architectural/design; Manufacturing;Raw materials/extraction; Research and development,http://www.adiwind.com,,Sheffield Village, Ohio,,,440-213-6976,www.adiwind.com 
